run_id,pipeline,speaker,segment,confab_type,quote_text,original_ratio,match_rank,match_chapter,match_ratio,match_snippet
emb_v19_all_swapped,embedding,Oliver Trevelyan,Richard's Slow Burn: Ambition and Ruin,paraphrase,Bent head — bitten nail — lowering eye — lingering step — purposeless and dreamy air.,0.000,1,c10,0.440,"letters, and
against counsel and attorneys going home to dinner, and against
plaintiffs and defendants and suitors of all sorts, and against the
general crowd,"
emb_v19_all_swapped,embedding,Oliver Trevelyan,Richard's Slow Burn: Ambition and Ruin,paraphrase,Bent head — bitten nail — lowering eye — lingering step — purposeless and dreamy air.,0.000,2,c36,0.430,"as
a little child, something I had never seen in any face, something I
had never seen in hers before.
A dread and faintness fell upon me, and I called to Charl"
emb_v19_all_swapped,embedding,Oliver Trevelyan,Richard's Slow Burn: Ambition and Ruin,paraphrase,Bent head — bitten nail — lowering eye — lingering step — purposeless and dreamy air.,0.000,3,c28,0.420,"ir
cousinship; as it is, they are almost all a little worsted by it, and
lounge in purposeless and listless paths, and seem to be quite as
much at a loss how t"
emb_v19_all_swapped,embedding,Oliver Trevelyan,Richard's Slow Burn: Ambition and Ruin,paraphrase,Bent head — bitten nail — lowering eye — lingering step — purposeless and dreamy air.,0.000,4,c22,0.410,"nor there.
My little woman being engaged in that way made it easier for me to
step round in a quiet manner.”
Mr. Tulkinghorn assents. “Fill your glass, Snagsby"
emb_v19_all_swapped,embedding,Oliver Trevelyan,Richard's Slow Burn: Ambition and Ruin,paraphrase,Bent head — bitten nail — lowering eye — lingering step — purposeless and dreamy air.,0.000,5,c38,0.410,"hile we had this chat, now coming back,
preparatory to exercising the apprentices in the ball-room, Caddy
informed me she was quite at my disposal. But it was"
emb_v21_hartley_blackstone_edmund,embedding,Edmund Leigh,The Weight of Secrets: Lady Dedlock's Dangerous Knowledge,blend,hypocrisy can afford to be magnificent in its promises.,0.000,1,c21,0.455,"reat. I can’t afford to it. But as you, in
your pleasant way, made your pipe a
 condition—”
“Why, it’s not for the value of i"
emb_v21_hartley_blackstone_edmund,embedding,Edmund Leigh,The Weight of Secrets: Lady Dedlock's Dangerous Knowledge,blend,hypocrisy can afford to be magnificent in its promises.,0.000,2,c21,0.455,"t can be said to have any front, is painted GEORGE’S
SHOOTING GALLERY, &c.
Into George’s Shooting Gallery, &c., he goes; and"
emb_v21_hartley_blackstone_edmund,embedding,Edmund Leigh,The Weight of Secrets: Lady Dedlock's Dangerous Knowledge,blend,hypocrisy can afford to be magnificent in its promises.,0.000,3,c1,0.439,"d otherwise have lapsed into a habit of vaguely promising
themselves that they will look into that outstanding little matter"
emb_v21_hartley_blackstone_edmund,embedding,Edmund Leigh,The Weight of Secrets: Lady Dedlock's Dangerous Knowledge,blend,hypocrisy can afford to be magnificent in its promises.,0.000,4,c17,0.439,"cousin, that you, Richard, should be quite in earnest without any
reservation. I think we had better talk about this, really,"
emb_v21_hartley_blackstone_edmund,embedding,Edmund Leigh,The Weight of Secrets: Lady Dedlock's Dangerous Knowledge,blend,hypocrisy can afford to be magnificent in its promises.,0.000,5,c20,0.439,"ose while his companions are yet midway in
theirs, that Mr. Guppy proposes another. “Thank you, Guppy,” says Mr.
Jobling, “I"
emb_v30_woodcourt_edmund_trevelyan,embedding,Edmund Leigh,Jo's London: Poverty and Shame,blend,Whose delicacy I offend.,0.000,1,c31,0.556,"y delicacy, I should
imagine,” said Mr. Skimpole, unabashed and candid. “It seems to me
that i"
emb_v30_woodcourt_edmund_trevelyan,embedding,Edmund Leigh,Jo's London: Poverty and Shame,blend,Whose delicacy I offend.,0.000,2,c16,0.519,"elicacy I offend! Jo’s ideas of a criminal trial, or a judge, or a
bishop, or a government, or"
emb_v30_woodcourt_edmund_trevelyan,embedding,Edmund Leigh,Jo's London: Poverty and Shame,blend,Whose delicacy I offend.,0.000,3,c48,0.519,"h the greatest delicacy and
refinement, Lady Dedlock is. From the shining heights she has scal"
emb_v30_woodcourt_edmund_trevelyan,embedding,Edmund Leigh,Jo's London: Poverty and Shame,blend,Whose delicacy I offend.,0.000,4,c11,0.481,"ht
the tone of a delicate musical instrument be inferred from its case,
as the tone of Mr. Tul"
emb_v30_woodcourt_edmund_trevelyan,embedding,Edmund Leigh,Jo's London: Poverty and Shame,blend,Whose delicacy I offend.,0.000,5,c2,0.481,"delay of justice and a trifling amount of
confusion, as a something devised in conjunction wi"
emb_v12_radical_panel,embedding,Daniel Rosen,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",blend,"'Native ignorance, the growth of English soil and climate, sinks his immortal nature lower than the beasts that perish' — Dickens knew exactly who had cultivated that soil.",0.026,1,c47,0.535,"e, the growth of English
soil and climate, sinks his immortal nature lower than the beasts
that perish. Stand forth, Jo, in uncompromising colours! From the
sole of thy foot to the crown of thy head, there is nothing
interesting about thee.
He"
emb_v12_radical_panel,embedding,Daniel Rosen,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",blend,"'Native ignorance, the growth of English soil and climate, sinks his immortal nature lower than the beasts that perish' — Dickens knew exactly who had cultivated that soil.",0.026,2,c53,0.367,"conversation, and will he—this is
all he asks—will he, when he has a leisure half-hour, think of
bestowing it on that Royal Academy sculptor, for the advantage of
both parties?"
emb_v12_radical_panel,embedding,Daniel Rosen,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",blend,"'Native ignorance, the growth of English soil and climate, sinks his immortal nature lower than the beasts that perish' — Dickens knew exactly who had cultivated that soil.",0.026,3,c25,0.339,"phere of secrecy his own shadow may
pass, let all concerned in the secrecy beware! For the watchful Mrs.
Snagsby is there too—bone of his bone, flesh of his flesh, shadow of
his shadow."
emb_v12_radical_panel,embedding,Daniel Rosen,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",blend,"'Native ignorance, the growth of English soil and climate, sinks his immortal nature lower than the beasts that perish' — Dickens knew exactly who had cultivated that soil.",0.026,4,c23,0.311,"And I said again, “I can’t help it, Charley.”
And Charley said again, “No, miss, nor I can’t help it.” And so,
after all, I did cry for joy indeed, and so did she."
emb_v12_radical_panel,embedding,Daniel Rosen,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",blend,"'Native ignorance, the growth of English soil and climate, sinks his immortal nature lower than the beasts that perish' — Dickens knew exactly who had cultivated that soil.",0.026,5,c44,0.301,"ssed him, and he said was this
the mistress of Bleak House, and I said yes; and it made no
difference presently, and we all went out together, and I said
nothing to my precious pet about it."
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,invention,To behold the Lord Chancellor and the whole array of practitioners under him looking at one another and at the spectators as if nobody had ever heard that all over England the name in which they were assembled was a bitter jest —,0.031,1,c24,0.031,"empt, and
indignation, was known for something so flagrant and bad that little
short of a miracle could bring any good out of it to any one—this
was so curious and self-contradictory to me, who had no experience of
it, that it was at first incredible, and I could not comprehend it. I
sat w"
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,invention,To behold the Lord Chancellor and the whole array of practitioners under him looking at one another and at the spectators as if nobody had ever heard that all over England the name in which they were assembled was a bitter jest —,0.031,2,c45,0.031,"untry with Mr. Richard.”
A more complete contrast than my guardian and Mr. Vholes I suppose
there could not be. I found them looking at one another across a
table, the one so open and the other so close, the one so broad and
upright and the other so narrow and stooping, the one giving out"
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,invention,To behold the Lord Chancellor and the whole array of practitioners under him looking at one another and at the spectators as if nobody had ever heard that all over England the name in which they were assembled was a bitter jest —,0.031,3,c15,0.023,"there
came into the room a very little girl, childish in figure but shrewd
and older-looking in the face—pretty-faced too—wearing a womanly
sort of bonnet much too large for her and drying her bare arms on a
womanly sort of apron. Her fingers were white and wrinkled with
washing, and the"
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,invention,To behold the Lord Chancellor and the whole array of practitioners under him looking at one another and at the spectators as if nobody had ever heard that all over England the name in which they were assembled was a bitter jest —,0.031,4,c5,0.019,"n’t know, I am sure!” said Richard rather carelessly.
“You see,” said the old man, stopping and turning round, “they—Hi!
Here’s lovely hair! I have got three sacks of ladies’ hair below, but
none so beautiful and fine as this. What colour, and what texture!”
“That’ll do, my good friend!” s"
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,invention,To behold the Lord Chancellor and the whole array of practitioners under him looking at one another and at the spectators as if nobody had ever heard that all over England the name in which they were assembled was a bitter jest —,0.031,5,c52,0.019,"zement. She actually trudged away in her grey cloak at a
sturdy pace, and turned the corner, and was gone.
“Mr. Bagnet,” said my guardian. “Do you mean to let her go in that
way?”
“Can’t help it,” he returned. “Made her way home once from another
quarter of the world. With the same grey cl"
emb_v29_blackstone_rosen_trevelyan,embedding,James Blackstone,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"The woman at Jo's bedside puts it with accidental precision when she says the 'pretty dear' — meaning Esther — 'caught his illness, lost her beautiful looks, and wouldn't hardly be known for the same young lady now.'",0.037,1,c44,0.373,"urned.
I put my two arms round his neck and kissed him, and he said was this
the mistress of Bleak House, and I said yes; and it made no
difference presently, an"
emb_v29_blackstone_rosen_trevelyan,embedding,James Blackstone,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"The woman at Jo's bedside puts it with accidental precision when she says the 'pretty dear' — meaning Esther — 'caught his illness, lost her beautiful looks, and wouldn't hardly be known for the same young lady now.'",0.037,2,c22,0.363,"eing
made away with, and who within the last two hours has passed through
every stage of swooning with the greatest decorum. But as the little
woman feelingly sa"
emb_v29_blackstone_rosen_trevelyan,embedding,James Blackstone,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"The woman at Jo's bedside puts it with accidental precision when she says the 'pretty dear' — meaning Esther — 'caught his illness, lost her beautiful looks, and wouldn't hardly be known for the same young lady now.'",0.037,3,c53,0.363,"ands with Mercury in
acknowledgment of his agreeable conversation, and will he—this is
all he asks—will he, when he has a leisure half-hour, think of
bestowing i"
emb_v29_blackstone_rosen_trevelyan,embedding,James Blackstone,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"The woman at Jo's bedside puts it with accidental precision when she says the 'pretty dear' — meaning Esther — 'caught his illness, lost her beautiful looks, and wouldn't hardly be known for the same young lady now.'",0.037,4,c34,0.353,"something of a hurry about him,
that he’ll smoke his pipe in the street a bit."
emb_v29_blackstone_rosen_trevelyan,embedding,James Blackstone,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"The woman at Jo's bedside puts it with accidental precision when she says the 'pretty dear' — meaning Esther — 'caught his illness, lost her beautiful looks, and wouldn't hardly be known for the same young lady now.'",0.037,5,c9,0.353,"ld chord had been more coarsely touched than it ever had been
since the days of the dear old doll, long buried in the garden."
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,paraphrase,"— was held in universal horror, contempt, and indignation, was known for something so flagrant and bad that little short of a miracle could bring any good out of it to any one.",0.055,1,c10,0.392,"As he rattles on the door, the candle which has drooped so long goes
out and leaves him in the dark, with the gaunt eyes in the shutters
staring down upon the bed."
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,paraphrase,"— was held in universal horror, contempt, and indignation, was known for something so flagrant and bad that little short of a miracle could bring any good out of it to any one.",0.055,2,c58,0.357,"antom. Cold, colourless,
and vague, it sends a warning streak before it of a deathlike hue, as
if it cried out, “Look what I am bringing you who watch there! Who
will tell him!”"
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,paraphrase,"— was held in universal horror, contempt, and indignation, was known for something so flagrant and bad that little short of a miracle could bring any good out of it to any one.",0.055,3,c28,0.317,"aven; and the one wintry wind that
blows to-day shakes a shower from the trees near the deserted house,
as if all the cousins had been changed into leaves."
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,paraphrase,"— was held in universal horror, contempt, and indignation, was known for something so flagrant and bad that little short of a miracle could bring any good out of it to any one.",0.055,4,c24,0.055,"t and bad that little
short of a miracle could bring any good out of it to any one—this
was so curious and self-contradictory to me, who had no experience of
it, that it was at first incredible, and I could not comprehend it. I
sat where"
emb_v01_baseline,embedding,Caroline Woodcourt,The Circumlocution Office and Its Victims: Where Stories Converge,paraphrase,"— was held in universal horror, contempt, and indignation, was known for something so flagrant and bad that little short of a miracle could bring any good out of it to any one.",0.055,5,c22,0.055,"all-Alone’s and to keep the whole thing quiet ever
afterwards and never mention it to any one. That’s about your
intentions, if I understand you?”
“You are right, sir. You are right,” says Mr. Snagsby.
“Then here’s your hat,” returns his"
emb_v10_conservative,embedding,Caroline Woodcourt,Lady Dedlock's Mask: Secrecy and Society,blend,"But whether each evermore watches and suspects the other, evermore mistrustful of some great reservation; whether each is evermore prepared at all points for the other, and never to be taken unawares—",0.058,1,c12,0.832,"closed within the same walls could. But whether each evermore
watches and suspects the other, evermore mistrustful of some great
reservation; whether each is evermore prepared at all points for the
other, and never to be taken unawares; what each would give to know
how m"
emb_v10_conservative,embedding,Caroline Woodcourt,Lady Dedlock's Mask: Secrecy and Society,blend,"But whether each evermore watches and suspects the other, evermore mistrustful of some great reservation; whether each is evermore prepared at all points for the other, and never to be taken unawares—",0.058,2,c12,0.058,"great
reservation; whether each is evermore prepared at all points for the
other, and never to be taken unawares; what each would give to know
how much the other knows—all this is hidden, for the time, in their
own hearts."
emb_v10_conservative,embedding,Caroline Woodcourt,Lady Dedlock's Mask: Secrecy and Society,blend,"But whether each evermore watches and suspects the other, evermore mistrustful of some great reservation; whether each is evermore prepared at all points for the other, and never to be taken unawares—",0.058,3,c20,0.027,"as Smallweed; and he
drinks and smokes in a monkeyish way; and his neck is stiff in his
collar; and he is never to be taken in; and he knows all about it,
whatever it is. In short, in his bringing up he has been so nursed by
Law and Equity that he has become a"
emb_v29_blackstone_rosen_trevelyan,embedding,Daniel Rosen,Buried Lives: The Secret that Shadows Lady Dedlock,blend,"But whether each evermore watches and suspects the other, evermore mistrustful of some great reservation; whether each is evermore prepared at all points for the other, and never to be taken unawares—",0.058,1,c12,0.832,"closed within the same walls could. But whether each evermore
watches and suspects the other, evermore mistrustful of some great
reservation; whether each is evermore prepared at all points for the
other, and never to be taken unawares; what each would give to know
how m"
emb_v29_blackstone_rosen_trevelyan,embedding,Daniel Rosen,Buried Lives: The Secret that Shadows Lady Dedlock,blend,"But whether each evermore watches and suspects the other, evermore mistrustful of some great reservation; whether each is evermore prepared at all points for the other, and never to be taken unawares—",0.058,2,c12,0.058,"great
reservation; whether each is evermore prepared at all points for the
other, and never to be taken unawares; what each would give to know
how much the other knows—all this is hidden, for the time, in their
own hearts."
emb_v29_blackstone_rosen_trevelyan,embedding,Daniel Rosen,Buried Lives: The Secret that Shadows Lady Dedlock,blend,"But whether each evermore watches and suspects the other, evermore mistrustful of some great reservation; whether each is evermore prepared at all points for the other, and never to be taken unawares—",0.058,3,c20,0.027,"as Smallweed; and he
drinks and smokes in a monkeyish way; and his neck is stiff in his
collar; and he is never to be taken in; and he knows all about it,
whatever it is. In short, in his bringing up he has been so nursed by
Law and Equity that he has become a"
emb_v29_blackstone_rosen_trevelyan,embedding,Oliver Trevelyan,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"And then he says it plainly: 'Stand forth, Jo, in uncompromising colours. From the sole of thy foot to the crown of thy head, there is nothing interesting about thee.'",0.112,1,c44,0.372,"and kissed him, and he said was this
the mistress of Bleak House, and I said yes; and it made no
difference presently, and we all went out together, and I said
nothing to my precious pet about it."
emb_v29_blackstone_rosen_trevelyan,embedding,Oliver Trevelyan,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"And then he says it plainly: 'Stand forth, Jo, in uncompromising colours. From the sole of thy foot to the crown of thy head, there is nothing interesting about thee.'",0.112,2,c26,0.315,"tleman with his
cap over one eye is always sliding off the seat into the straw and
looking upward at him out of his other eye with a helpless expression
of being jolted in the back."
emb_v29_blackstone_rosen_trevelyan,embedding,Oliver Trevelyan,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"And then he says it plainly: 'Stand forth, Jo, in uncompromising colours. From the sole of thy foot to the crown of thy head, there is nothing interesting about thee.'",0.112,3,c30,0.309,"se it
gives me so much pleasure. They said there could be no east wind
where Somebody was; they said that wherever Dame Durden went, there
was sunshine and summer air."
emb_v29_blackstone_rosen_trevelyan,embedding,Oliver Trevelyan,The Streets Have Eyes: Jo's Impossible Journey,paraphrase,"And then he says it plainly: 'Stand forth, Jo, in uncompromising colours. From the sole of thy foot to the crown of thy head, there is nothing interesting about thee.'",0.112,4,c47,0.112,"h
soil and climate, sinks his immortal nature lower than the beasts
that perish. Stand forth, Jo, in uncompromising colours! From the
sole of thy foot to the crown of thy head, there is nothing
interesting about thee.
He shuffl"
emb_v05_craft_v2,embedding,Caroline Woodcourt,Comic Relief and Grotesque Justice: Dickens' Satirical Voice,invention,Both the world of fashion and the Court of Chancery are things of precedent and usage: oversleeping Rip Van Winkles who have played at strange games through a deal of thundery weather.,0.140,1,c65,0.140,"ll we found that the day’s business was begun. Worse
than that, we found such an unusual crowd in the Court of Chancery
that it was full to the door, and we could neither see nor hear what
was passing within. It appeared to be something droll,"
emb_v05_craft_v2,embedding,Caroline Woodcourt,Comic Relief and Grotesque Justice: Dickens' Satirical Voice,invention,Both the world of fashion and the Court of Chancery are things of precedent and usage: oversleeping Rip Van Winkles who have played at strange games through a deal of thundery weather.,0.140,2,c2,0.126,"It is but a glimpse of the world of fashion that we want on this same
miry afternoon. It is not so unlike the Court of Chancery but that we
may pass from the one scene to the other, as the crow flies. Both the
world of fashion and the Court of"
emb_v05_craft_v2,embedding,Caroline Woodcourt,Comic Relief and Grotesque Justice: Dickens' Satirical Voice,invention,Both the world of fashion and the Court of Chancery are things of precedent and usage: oversleeping Rip Van Winkles who have played at strange games through a deal of thundery weather.,0.140,3,c15,0.077,"r
burning iron, and I have lost the habit of treading upon velvet. Go
into the Court of Chancery yonder and ask what is one of the standing
jokes that brighten up their business sometimes, and they will tell
you that the best joke they have is"
emb_v05_craft_v2,embedding,Caroline Woodcourt,Comic Relief and Grotesque Justice: Dickens' Satirical Voice,invention,Both the world of fashion and the Court of Chancery are things of precedent and usage: oversleeping Rip Van Winkles who have played at strange games through a deal of thundery weather.,0.140,4,c15,0.043,"in all sorts of
parliamentary rhetoric; but as it was, he and the Court of Chancery
had fallen upon each other in the pleasantest way, and nobody was
much the worse, and Gridley was, so to speak, from that hour provided
for. Then look at Coavi"
emb_v05_craft_v2,embedding,Caroline Woodcourt,Comic Relief and Grotesque Justice: Dickens' Satirical Voice,invention,Both the world of fashion and the Court of Chancery are things of precedent and usage: oversleeping Rip Van Winkles who have played at strange games through a deal of thundery weather.,0.140,5,c15,0.029,"bativeness upon—a sort of Young Love among the thorns—when the
Court of Chancery came in his way and accommodated him with the exact
thing he wanted. There they were, matched, ever afterwards! Otherwise
he might have been a great general, blowi"
emb_v11_marxist,embedding,James Blackstone,Jo and the Cholera: Poverty as Contagion,invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,1,c31,0.157,", “I have not the least idea what he is to do then. But
I have no doubt he’ll do it.”
“Now, is it not a horrible reflection,” said my guardian, to whom I
had hastily explained the unavailing efforts of the two women, “is it
not a horrible reflection,” walking"
emb_v11_marxist,embedding,James Blackstone,Jo and the Cholera: Poverty as Contagion,invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,2,c61,0.098,"ful to him, and he makes it very
useful to society. Shall I shake that faith in Bucket because I want
it myself; shall I deliberately blunt one of Bucket’s weapons; shall
I positively paralyse Bucket in his next detective operation? And
again. If it is blamea"
emb_v11_marxist,embedding,James Blackstone,Jo and the Cholera: Poverty as Contagion,invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,3,c54,0.031,"my brother-in-law. He was
own brother to a brimstone magpie—leastways Mrs. Smallweed. I come
into Krook’s property. I examined all his papers and all his effects.
They was all dug out under my eyes. There was a bundle of letters
belonging to a dead and gone"
emb_v11_marxist,embedding,James Blackstone,Jo and the Cholera: Poverty as Contagion,invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,4,c52,0.031,"n, or to
think that other men do. Say I am innocent and I get a lawyer. He
would be as likely to believe me guilty as not; perhaps more. What
would he do, whether or not? Act as if I was—shut my mouth up, tell
me not to commit myself, keep circumstances back,"
emb_v12_radical_panel,embedding,Edmund Leigh,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,1,c31,0.157,", “I have not the least idea what he is to do then. But
I have no doubt he’ll do it.”
“Now, is it not a horrible reflection,” said my guardian, to whom I
had hastily explained the unavailing efforts of the two women, “is it
not a horrible reflection,” walking"
emb_v12_radical_panel,embedding,Edmund Leigh,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,2,c61,0.098,"ful to him, and he makes it very
useful to society. Shall I shake that faith in Bucket because I want
it myself; shall I deliberately blunt one of Bucket’s weapons; shall
I positively paralyse Bucket in his next detective operation? And
again. If it is blamea"
emb_v12_radical_panel,embedding,Edmund Leigh,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,3,c54,0.031,"my brother-in-law. He was
own brother to a brimstone magpie—leastways Mrs. Smallweed. I come
into Krook’s property. I examined all his papers and all his effects.
They was all dug out under my eyes. There was a bundle of letters
belonging to a dead and gone"
emb_v12_radical_panel,embedding,Edmund Leigh,"Jo's Crushed Hope: Class, Pestilence, and the Law's Indifference",invention,"Is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,4,c52,0.031,"n, or to
think that other men do. Say I am innocent and I get a lawyer. He
would be as likely to believe me guilty as not; perhaps more. What
would he do, whether or not? Act as if I was—shut my mouth up, tell
me not to commit myself, keep circumstances back,"
emb_v23_hartley_woodcourt_rosen,embedding,Daniel Rosen,Bleak House and the Social Machinery of Ruin,invention,"is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,1,c31,0.157,", “I have not the least idea what he is to do then. But
I have no doubt he’ll do it.”
“Now, is it not a horrible reflection,” said my guardian, to whom I
had hastily explained the unavailing efforts of the two women, “is it
not a horrible reflection,” walking"
emb_v23_hartley_woodcourt_rosen,embedding,Daniel Rosen,Bleak House and the Social Machinery of Ruin,invention,"is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,2,c61,0.098,"ful to him, and he makes it very
useful to society. Shall I shake that faith in Bucket because I want
it myself; shall I deliberately blunt one of Bucket’s weapons; shall
I positively paralyse Bucket in his next detective operation? And
again. If it is blamea"
emb_v23_hartley_woodcourt_rosen,embedding,Daniel Rosen,Bleak House and the Social Machinery of Ruin,invention,"is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,3,c54,0.031,"my brother-in-law. He was
own brother to a brimstone magpie—leastways Mrs. Smallweed. I come
into Krook’s property. I examined all his papers and all his effects.
They was all dug out under my eyes. There was a bundle of letters
belonging to a dead and gone"
emb_v23_hartley_woodcourt_rosen,embedding,Daniel Rosen,Bleak House and the Social Machinery of Ruin,invention,"is it not a horrible reflection that if this wretched creature were a convicted prisoner, his hospital would be wide open to him, and he would be as well taken care of as any sick boy in the kingdom?",0.157,4,c52,0.031,"n, or to
think that other men do. Say I am innocent and I get a lawyer. He
would be as likely to believe me guilty as not; perhaps more. What
would he do, whether or not? Act as if I was—shut my mouth up, tell
me not to commit myself, keep circumstances back,"
